Mashine_code,E_TIME,INGOT_ID,LOT_ID,BRICK_ID,WIRESAW_TOOL_ID,WAFER_ID,BIN_NUM,SORTING_NAME,CSI_left,CSI_right,CSI_front,CSI_rear,TMEAN,TMIN,TMAX,TTV,ETV,ETTV,RMEAN,RMAX,RMIN,"SMART1 GROOVE","SMART1 Surfce GROOVE",STEP,BOW,WARP,PN_TYPE,"SMART2 GROOVE","SMART2 Surface GROOVE",STAIN_TOP,STAIN_BTM,top_chip,btm_chip,WIDTH,LENGTH,DIAMETER_45,DIAMETER_135,Chamfer_TL,Chamfer_TR,Chamfer_BL,Chamfer_BR,RECTANGULARITY_TL,RECTANGULARITY_TR,RECTANGULARITY_BL,RECTANGULARITY_BR,ChamferX_TL,ChamferX_TR,ChamferX_BR,ChamferX_BL,ChamferY_TL,ChamferY_TR,ChamferY_BR,ChamferY_BL,Pinhole,Crack,Inclusion,RECIPE
"FAB2-Tool52 2-A1","20190628 11:30:16",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,0,13," ",,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:22",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,1,7," A+",0,0,0,0,181.749,178.989,184.737,5.748,,,1.563,1.618,1.538,4.354,7.078,4.809,4.805,17.248,,,,0,0,0,0,156.879,156.949,220.226,220.223,1.629,1.427,1.746,1.703,-0.045,0.031,0.014,0.001,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:22",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,2,7," A+",0,0,0,0,182.636,179.462,186.629,7.167,,,1.575,1.627,1.546,3.473,6.659,5.063,5.129,18.187,,,,0,0,0,0,156.879,156.949,220.216,220.237,1.618,1.439,1.717,1.698,-0.048,0.033,0.011,0.004,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:23",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,3,7," A+",0,0,0,0,182.246,179.092,185.122,6.030,,,1.568,1.632,1.535,3.927,7.296,5.884,3.359,16.692,,,,0,0,0,0,156.880,156.950,220.210,220.237,1.644,1.439,1.706,1.711,-0.048,0.035,0.008,0.005,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:23",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,4,7," A+",0,0,0,0,181.870,178.474,185.512,7.037,,,1.571,1.648,1.543,3.547,7.135,5.025,2.897,16.786,,,,0,0,0,0,156.878,156.951,220.210,220.226,1.649,1.437,1.718,1.709,-0.045,0.032,0.008,0.006,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:24",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,5,7," A+",0,0,0,0,182.325,179.668,185.848,6.181,,,1.570,1.617,1.537,3.739,6.810,4.494,3.528,18.030,,,,0,0,0,0,156.877,156.948,220.215,220.218,1.640,1.434,1.748,1.690,-0.048,0.036,0.008,0.004,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:24",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,6,7," A+",0,0,0,0,182.519,178.529,186.786,8.257,,,1.576,1.628,1.545,3.507,7.978,5.147,4.539,16.983,,,,0,0,0,0,156.884,156.954,220.235,220.246,1.618,1.430,1.722,1.688,-0.044,0.03,0.009,0.005,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:25",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,7,7," A+",0,0,0,0,182.053,179.7,185.218,5.518,,,1.573,1.643,1.545,4.824,7.458,5.433,7.792,18.956,,,,0,0,0,0,156.886,156.957,220.234,220.249,1.644,1.436,1.712,1.692,-0.045,0.03,0.01,0.005,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:25",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,8,7," A+",0,0,0,0,182.005,178.831,185.472,6.641,,,1.588,1.646,1.550,3.839,7.198,6.107,2.971,17.932,,,,0,0,0,0,156.879,156.950,220.218,220.223,1.647,1.434,1.720,1.701,-0.048,0.031,0.011,0.005,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:26",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,9,7," A+",0,0,0,0,182.023,178.865,186.231,7.367,,,1.576,1.633,1.545,3.562,7.966,4.514,3.262,17.062,,,,0,0,0,0,156.879,156.954,220.225,220.223,1.638,1.433,1.743,1.706,-0.047,0.032,0.008,0.006,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
